input,intent
allergy,allergies
Do I have any allergies?,allergies
Tell me my allergies,allergies
allergies,allergies
food allergies,allergies
Can you tell me about my food allergies?,allergies
I need information on my drug allergies.,allergies
Could you provide details about my allergic reactions to medications?,allergies
What do I need to know about my food intolerances?,allergies
Tell me about any allergies or sensitivities I have to certain foods.,allergies
"I'd like to learn more about my allergies, especially related to foods.",allergies
Can you give me insights into my allergic responses to specific substances?,allergies
I'm curious about my body's reactions to certain foods and drugs.,allergies
Please provide information on any allergies or intolerances I should be aware of.,allergies
What should I be cautious about in terms of allergies and sensitivities?,allergies
Can you provide information about any food allergies I may have?,allergies
I'm interested in learning about potential food allergies. What can you tell me?,allergies
Could you list any known food allergies in my medical history?,allergies
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
What information do you have about food allergies in my patient history?,allergies
Can you inform me about any allergies to food that are listed in my medical records?,allergies
I need details about potential food allergies. What has been recorded in my health history?,allergies
Are there specific foods I should be cautious about due to allergies? Please elaborate.,allergies
Please provide information on any documented food allergies in my health records.,allergies
I'm interested in knowing if there are any food allergies mentioned in my medical history. Can you give me details?,allergies
What can you tell me about allergies to food that are documented in my patient history?,allergies
Could you share any information about food allergies that may be present in my medical records?,allergies
I want to be aware of any food allergies listed in my health history. Can you provide that information?,allergies
Please give me details about any known food allergies in my medical records.,allergies
Can you provide information about any drug allergies I may have?,allergies
I'm interested in learning about potential drug allergies. What can you tell me?,allergies
Could you list any known drug allergies in my medical history?,allergies
Are there any specific foods that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented food allergies in my health records. Can you share that information?,allergies
What information do you have about food allergies in my patient history?,allergies
Tell me about any environmental allergies I might have.,allergies
I'm interested in understanding my allergic reactions to pollen and dust. Can you provide insights?,allergies
Could you give me information on my pet allergies and how they may affect my health?,allergies
What should I be aware of regarding seasonal allergies and are there any specific triggers I need to avoid?,allergies
Please share details about any allergies I may have to insect bites or stings.,allergies
I'd like to know if I have any allergies to common medications. Can you provide a list?,allergies
Can you tell me about my skin allergies and any specific substances I should avoid in skincare products?,allergies
I'm curious about potential allergies to certain fabrics. What information do you have on this?,allergies
What should I be cautious about in terms of allergic reactions to household cleaning products?,allergies
Can you provide insights into my allergic responses to specific plants or flowers?,allergies
Are there specific medications that I should avoid due to allergies? Please provide details.,allergies
I would like to know if there are any documented drug allergies in my health records. Can you share that information?,allergies
What information do you have about drug allergies in my patient history?,allergies
Can you inform me about any allergies to medications that are listed in my medical records?,allergies
I need details about potential drug allergies. What has been recorded in my health history?,allergies
Are there specific drugs I should be cautious about due to allergies? Please elaborate.,allergies
Please provide information on any documented drug allergies in my health records.,allergies
I'm interested in knowing if there are any drug allergies mentioned in my medical history. Can you give me details?,allergies
What can you tell me about allergies to medications that are documented in my patient history?,allergies
Could you share any information about drug allergies that may be present in my medical records?,allergies
I want to be aware of any drug allergies listed in my health history. Can you provide that information?,allergies
Please give me details about any known drug allergies in my medical records.,allergies
Tell me about any ongoing health issues mentioned in my medical history.,current_problems
current problems,current_problems
Provide details on my current health problems recorded in my patient records.,current_problems
I'm curious about my present health condition. Can you share specifics from my health summary?,current_problems
What are the current health issues listed in my health records?,current_problems
Can you provide information on my ongoing health concerns?,current_problems
Tell me about the current medical issues mentioned in my health records.,current_problems
I'd like to know the current health conditions documented in my patient profile.,current_problems
Please share details about my existing health problems as per my medical records.,current_problems
What are the present health challenges recorded in my health summary?,current_problems
Can you give me insights into my current health status and any ongoing medical conditions?,current_problems
I'm interested in learning about my recent health problems. What information is available?,current_problems
Provide a summary of my existing health issues based on my patient records.,current_problems
What specific ailments or conditions are currently noted in my medical history?,current_problems
Tell me about any chronic health problems documented in my health records.,current_problems
Please share details on my current health issues and any recommended treatments.,current_problems
What are the active health concerns mentioned in my patient profile?,current_problems
I want to understand my current health status. Can you provide details on my health problems?,current_problems
Share information on my present medical conditions as recorded in my health records.,current_problems
What health problems should I be aware of based on my current medical records?,current_problems
I'm curious about any recent health issues. Could you provide details from my patient records?,current_problems
Can you list the ongoing health problems that are documented in my health history?,current_problems
I'd like to know about my current health challenges. Please provide information from my records.,current_problems
What are the existing health issues noted in my patient profile?,current_problems
Provide details on the health problems I am currently facing as per my medical records.,current_problems
Give me a summary of my current health problems documented in my patient history.,current_problems
Tell me about any chronic conditions or ongoing illnesses mentioned in my health summary.,current_problems
Provide details on my current medications and health concerns recorded in my patient records.,current_problems
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
Please share details about any recent injuries or health problems documented in my patient history.,current_problems
Give me an update on my current mental health status based on my health records.,current_problems
Can you provide information on any recent infections or health issues in my medical history?,current_problems
Tell me about the current status of my cardiovascular health mentioned in my health summary.,current_problems
I'm interested in knowing about any ongoing digestive issues in my patient records.,current_problems
Provide details on the current state of my reproductive health recorded in my health history.,current_problems
Give me an update on my current musculoskeletal issues based on my medical records.,current_problems
Check if there are any recent instances of skin conditions in my medical history.,current_problems
I need information on my current gastrointestinal health recorded in my patient records.,current_problems
Tell me about any ongoing autoimmune disorders mentioned in my health summary.,current_problems
Give me an update on the current status of my neurological health based on my medical records.,current_problems
Can you provide specifics on any recent injuries or health concerns documented in my patient history?,current_problems
I'm interested in knowing about the current state of my endocrine health in my health summary.,current_problems
Tell me about any instances of diabetes or related conditions in my current health status.,current_problems
I want information on the present respiratory issues mentioned in my medical history. Can you help?,current_problems
Please share details about any ongoing cardiovascular conditions recorded in my patient history.,current_problems
Give me an update on my current mental health diagnoses based on my health records.,current_problems
Can you provide information on any recent episodes of infectious diseases in my medical history?,current_problems
Tell me about the current status of my reproductive health mentioned in my patient records.,current_problems
I'm interested in knowing about any recent surgeries or medical procedures related to my current health issues.,current_problems
Provide details on the current state of my musculoskeletal health recorded in my medical records.,current_problems
How are you doing?,feeling
How's everything going?,feeling
What's up with you?,feeling
How are you holding up?,feeling
How's your day been so far?,feeling
What's new with you?,feeling
How are things on your end?,feeling
How are you feeling today?,feeling
How's life treating you?,feeling
What's going on in your world?,feeling
How are things in your neck of the woods?,feeling
How's your day shaping up?,feeling
How are you fairing?,feeling
What's the status report on you?,feeling
How are you coping?,feeling
How are you managing these days?,feeling
How's everything on your side of the fence?,feeling
What's the good word today?,feeling
How are you keeping?,feeling
How's everything in your world right now?,feeling
hi,hello
hey,hello
hello,hello
hi my name is aliki,hello
hi I'm maria,hello
Hi!,hello
Hey there!,hello
Hello!,hello
Hiya!,hello
Hey!,hello
Howdy!,hello
Greetings!,hello
What's up?,hello
illness history,illness_history
Provide details about any past illnesses mentioned in my medical history.,illness_history
Can you give me an overview of the history of illnesses recorded in my patient records?,illness_history
I'm curious about my past illnesses. Can you share specifics from my health summary?,illness_history
Tell me about any chronic conditions documented in my patient history.,illness_history
What are the major illnesses listed in my health records?,illness_history
Give me a summary of the history of illnesses in my medical history.,illness_history
Provide details on the episodes of flu mentioned in my patient records.,illness_history
Tell me about any instances of allergies or intolerances recorded in my health summary.,illness_history
I want information on the past respiratory illnesses mentioned in my medical history. Can you help?,illness_history
Please share details about any significant illnesses documented in my patient history.,illness_history
Give me an update on the history of cardiovascular illnesses mentioned in my health records.,illness_history
Can you provide information on any past infectious diseases recorded in my patient history?,illness_history
Tell me about the history of mental health issues mentioned in my medical records.,illness_history
I'm interested in knowing about any surgeries related to past illnesses in my health summary.,illness_history
Provide details on the chronic conditions listed in my patient history.,illness_history
Check if there are any past instances of skin conditions in my medical history.,illness_history
I need information on the history of gastrointestinal illnesses recorded in my patient records.,illness_history
Tell me about any autoimmune disorders mentioned in my health summary.,illness_history
Give me an update on the history of neurological illnesses in my medical records.,illness_history
Can you provide specifics on any past injuries documented in my patient history?,illness_history
I'm interested in knowing about the history of endocrine disorders in my health summary.,illness_history
Tell me about any instances of diabetes or related conditions in my medical history.,illness_history
Provide details on the history of allergies  especially food allergies  mentioned in my patient records.,illness_history
I want information on the past episodes of respiratory infections mentioned in my health history. Can you help?,illness_history
Please share details about any cardiovascular conditions recorded in my patient history.,illness_history
Give me an update on the history of mental health diagnoses mentioned in my health records.,illness_history
Can you provide information on any past episodes of infectious diseases in my medical history?,illness_history
Tell me about the history of reproductive health issues recorded in my patient history.,illness_history
I'm interested in knowing about any surgeries related to past illnesses or conditions in my health summary.,illness_history
Provide details on the history of musculoskeletal issues mentioned in my medical records.,illness_history
Can you provide information about any implants mentioned in my patient summary?,implants
I'm interested in learning about any implants recorded in my medical history. What can you tell me?,implants
Could you list any known implants in my patient summary?,implants
Are there specific medical devices or implants that I should be aware of? Please provide details.,implants
I would like to know if there are any documented implants in my health records. Can you share that information?,implants
What information do you have about implants in my patient history?,implants
Can you inform me about any surgical implants that are listed in my medical records?,implants
I need details about any implants mentioned in my patient summary. What has been recorded in my health history?,implants
Are there specific medical devices or implants I should be cautious about? Please elaborate.,implants
Please provide information on any documented implants in my health records.,implants
I'm interested in knowing if there are any implants mentioned in my medical history. Can you give me details?,implants
What can you tell me about implants that are documented in my patient history?,implants
Could you share any information about implants that may be present in my medical records?,implants
I want to be aware of any implants listed in my health history. Can you provide that information?,implants
Please give me details about any known implants in my medical records.,implants
What functionalities or features are integrated into your chatbot?,info
Tell me about the tools and functions your chatbot has.,info
Can you describe the capabilities of your chatbot?,info
What can your chatbot do for me?,info
Explain the skill set of your chatbot.,info
How versatile is your chatbot's toolkit?,info
What kind of tasks can I assign to your chatbot?,info
Give me an overview of your chatbot's abilities.,info
In what areas is your chatbot proficient?,info
What are the core competencies of your chatbot?,info
What functionalities should I expect from your chatbot?,info
Can your chatbot handle a wide range of tasks?,info
Tell me about the functions your chatbot is equipped with.,info
What are the primary features of your chatbot?,info
How can I leverage your chatbot's abilities?,info
intolerances,intolerances
Can you provide information about any food intolerances I may have?,intolerances
I'm interested in learning about potential intolerances. What can you tell me?,intolerances
Could you list any known intolerances in my medical history?,intolerances
Are there specific foods that I should avoid due to intolerances? Please provide details.,intolerances
I would like to know if there are any documented intolerances in my health records. Can you share that information?,intolerances
What information do you have about intolerances in my patient history?,intolerances
Can you inform me about any food intolerances that are listed in my medical records?,intolerances
I need details about potential intolerances. What has been recorded in my health history?,intolerances
Are there specific types of food I should be cautious about due to intolerances? Please elaborate.,intolerances
Please provide information on any documented intolerances in my health records.,intolerances
I'm interested in knowing if there are any intolerances mentioned in my medical history. Can you give me details?,intolerances
What can you tell me about intolerances that are documented in my patient history?,intolerances
Could you share any information about intolerances that may be present in my medical records?,intolerances
I want to be aware of any intolerances listed in my health history. Can you provide that information?,intolerances
Please give me details about any known intolerances in my medical records.,intolerances
prescription ,prescription
prescription summary,prescription
Can you provide details about the e-prescriptions in my medical records?,prescription
I'm interested in learning more about any electronic prescriptions that have been issued for me. What information do you have?,prescription
Could you list any e-prescriptions that are part of my patient history?,prescription
Are there specific medications prescribed electronically for me? Please provide details.,prescription
I would like to know if there are any documented e-prescriptions in my health records. Can you share that information?,prescription
What information do you have about electronic prescriptions in my patient history?,prescription
Can you inform me about any medications prescribed electronically that are listed in my medical records?,prescription
I need details about e-prescriptions mentioned in my patient history. What has been recorded in my health history?,prescription
Are there specific medications prescribed electronically that I should be aware of? Please elaborate.,prescription
Please provide information on any documented e-prescriptions in my health records.,prescription
I'm interested in knowing if there are any e-prescriptions mentioned in my medical history. Can you give me details?,prescription
What can you tell me about medications prescribed electronically that are documented in my patient history?,prescription
Could you share any information about e-prescriptions that may be present in my medical records?,prescription
I want to be aware of any e-prescriptions listed in my health history. Can you provide that information?,prescription
Please give me details about any known e-prescriptions in my medical records.,prescription
"Can you provide information about my current prescriptions, if any?",prescription
I'm interested in knowing what medications are currently prescribed for me. Can you provide details?,prescription
Could you list the current prescriptions in my patient records?,prescription
Are there specific medications that I am currently taking? Please provide information on my current prescription.,prescription
I would like to know if there are any documented prescriptions in my health records. Can you share details about my current medications?,prescription
What information do you have about my current prescriptions in my patient history?,prescription
Can you inform me about any medications that are currently prescribed and listed in my medical records?,prescription
I need details about my current prescription. What medications are currently prescribed for me?,prescription
Are there specific medications I should be aware of that are part of my current prescription? Please elaborate.,prescription
Please provide information on any documented current prescriptions in my health records.,prescription
I'm interested in knowing if there are any current prescriptions mentioned in my medical history. Can you give me details?,prescription
What can you tell me about medications that are currently prescribed and documented in my patient history?,prescription
Could you share any information about my current prescriptions that may be present in my medical records?,prescription
I want to be aware of any current prescriptions listed in my health history. Can you provide that information?,prescription
Please give me details about any known current prescriptions in my medical records.,prescription
surgeries summary,surgery
surgical procedures,surgery
surgery,surgery
surgeries,surgery
Can you provide me with a summary of my surgical history?,surgery
What surgeries have I undergone in the past?,surgery
Could you list the surgical procedures I've had?,surgery
"I'd like to review my medical record regarding surgeries, how can I access that information?",surgery
Who can I speak to about my surgical history?,surgery
Is there a record of my past surgeries in my medical file?,surgery
What information do you have about my previous surgical interventions?,surgery
Could you give me details on the surgical procedures I've experienced?,surgery
I'm interested in knowing my surgical history; where should I start?,surgery
Is there a report or document that outlines my surgical history?,surgery
What medical records contain information about my surgeries?,surgery
How can I obtain a copy of my surgical history for my own records?,surgery
Are there any complications or notes associated with my past surgeries?,surgery
Who can I consult with to discuss my surgical history in detail?,surgery
Can you provide me with a timeline of my surgical procedures?,surgery
What are my surgeries?,surgery
Do I have any surgeries in my history?,surgery
What is my surgical history?,surgery
I want to know about my surgeries,surgery
Surgical procedures,surgery
surgeries,surgery
Tell me about any major surgeries I've undergone.,surgery
What surgical procedures have I had in the past?,surgery
Provide details on the operations listed in my medical records.,surgery
I'm interested in learning about any minor surgeries documented in my history.,surgery
Can you share information on my surgical interventions and their outcomes?,surgery
Are there any specific instructions related to my post-surgery care?,surgery
I'd like to review the details of my surgical history. Can you assist with that?,surgery
What do my medical records say about my past surgeries and their success rates?,surgery
Can you provide insights into my surgical experiences and their impact on my health?,surgery
Tell me about the surgical procedures that are part of my health records.,surgery
Do I have any upcoming scheduled surgeries documented in my patient profile?,surgery
I need information on the recovery process for my previous surgeries. Can you help?,surgery
Share any information on surgical complications or issues recorded in my medical history.,surgery
Can you provide details on the surgical history section of my medical records?,surgery
I'm curious about the types of anesthesia used in my past surgeries. Can you provide details?,surgery
What surgical interventions are currently listed in my patient records?,surgery
Tell me about any elective surgeries I've undergone in the past.,surgery
I want to understand the reasons behind my past surgeries. Can you provide insights?,surgery
Please share information on my surgical history including dates and procedures.,surgery
I'd like to know if there are any restrictions or precautions related to my past surgeries.,surgery
Can you provide details about the surgical procedures mentioned in my patient history?,surgery
I'm interested in learning more about the surgical interventions recorded in my medical records. Could you elaborate?,surgery
What surgical procedures have been documented in my patient history?,surgery
I would like information on any surgical treatments listed in my medical records. Can you assist?,surgery
Could you give me an overview of the surgeries documented in my patient history?,surgery
What surgical interventions or procedures are part of my medical history?,surgery
I'm curious about the surgeries mentioned in my patient records. Can you provide specifics?,surgery
Please share details about any surgical procedures mentioned in my patient history.,surgery
I need information on the surgical treatments outlined in my medical records. Can you help?,surgery
What can you tell me about the surgical procedures listed in my patient history?,surgery
I'm looking for information on the surgeries documented in my medical records. Where can I find details?,surgery
Could you please elaborate on the surgical interventions recorded in my patient history?,surgery
I'm interested in understanding more about the surgical procedures mentioned in my medical records. Can you provide details?,surgery
Can you give me a breakdown of the surgical treatments mentioned in my patient history?,surgery
I'd like to know more about the surgical procedures documented in my medical records. What information is available?,surgery
vaccinations,vaccination
Can you provide information about any vaccinations recorded in my medical history?,vaccination
Tell me about the vaccinations documented in my patient records.,vaccination
I'm interested in learning about the vaccinations mentioned in my health summary. Can you share details?,vaccination
Give me an overview of the vaccination history in my medical records.,vaccination
What vaccinations are included in my patient history?,vaccination
Provide a summary of the vaccinations documented in my health records.,vaccination
Tell me about any instances of COVID-19 vaccination in my medical records.,vaccination
Provide details about the flu vaccinations in my patient history.,vaccination
I want information on the MMR vaccine mentioned in my health summary. Can you help?,vaccination
Are there any recommended vaccines in my patient records that I haven't received yet?,vaccination
Let me know if there are upcoming vaccinations based on my medical history.,vaccination
I'm curious about vaccination recommendations. Can you provide guidance from my health summary?,vaccination
Tell me about the vaccinations administered in the past year according to my medical records.,vaccination
What vaccines have been documented in my patient history over the last five years?,vaccination
Give me a summary of vaccinations recorded in my health records during my childhood.,vaccination
Check if there are any recent vaccinations in my medical records.,vaccination
I need details on the vaccinations mentioned in my patient summary.,vaccination
What vaccines have been administered to me so far as per my medical history?,vaccination
Tell me about the routine vaccinations listed in my health records.,vaccination
Give me information about the COVID-19 vaccines recorded in my patient history.,vaccination
Can you provide specifics on the vaccinations received during my last health check-up?,vaccination
I want to know if there are any upcoming vaccinations scheduled based on my medical records.,vaccination
Tell me about the vaccinations recommended for someone of my age in my patient history.,vaccination
Provide a summary of the travel vaccinations documented in my health records.,vaccination
I'm planning to travel soon. Can you check if there are any required vaccinations in my patient summary?,vaccination
What vaccines should I be aware of in my medical history considering my medical conditions?,vaccination
Give me an update on the vaccinations  especially any recent ones  mentioned in my patient records.,vaccination
I'm interested in knowing about the vaccination schedule outlined in my health summary.,vaccination
Please provide details on any vaccinations recorded for my children in my medical history.,vaccination
Let me know if there are any booster shots recommended in my patient records.,vaccination